Round,Date,Home Team,Home Result,Away Team,Away Result,Venue,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 6,20180413,Dragons,,Sharks,,WIN Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 6,20180414,Warriors,,Broncos,,Mt Smart Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 6,20180414,Cowboys,,Bulldogs,,1300SMILES Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 6,20180414,Raiders,,Eels,,GIO Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 6,20180415,Panthers,,Titans,,Panthers Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 6,20180415,Sea Eagles,,Tigers,,Lottoland,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180419,Bulldogs,,Roosters,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180420,Warriors,,Dragons,,Mt Smart Stadium,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180420,Broncos,,Storm,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180421,Rabbitohs,,Raiders,,Central Coast Stadium,3:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180421,Tigers,,Knights,,Scully Park,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180421,Cowboys,,Titans,,1300SMILES Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180422,Eels,,Sea Eagles,,ANZ Stadium,2:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 7,20180422,Sharks,,Panthers,,Southern Cross Group Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180425,Storm,,Warriors,,AAMI Park,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180425,Dragons,,Roosters,,Allianz Stadium,7:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180426,Rabbitohs,,Broncos,,ANZ Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180427,Sea Eagles,,Knights,,Lottoland,6:00pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180427,Panthers,,Bulldogs,,Panthers Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180428,Titans,,Sharks,,Cbus Super Stadium,5:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180428,Cowboys,,Raiders,,1300SMILES Stadium,7:30pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 8,20180429,Eels,,Tigers,,ANZ Stadium,4:10pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round 9,20180503,Broncos,,Bulldogs,,Suncorp Stadium,7:50pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
